"catch_trial","correct_answer","modal","workerid","image","percentage_blue","color","catch_trial_answer_correct","video","speaker_cond"
0,NA,"probably",7,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"might",7,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",7,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",7,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"probably",7,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"probably",8,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",8,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",8,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
1,2,"bare",8,"scene_blue_video_100.gif",100,"blue",1,"blue_bare_f","f"
1,1,"might",8,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
1,1,"probably",8,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"probably",8,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",8,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",8,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,1,"might",8,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
1,2,"probably",8,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",8,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",8,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",8,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",8,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",8,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",8,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"probably",8,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",8,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",8,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"probably",9,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
1,2,"probably",9,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"might",9,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"probably",9,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",9,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",9,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
1,2,"bare",9,"scene_blue_video_100.gif",100,"blue",1,"blue_bare_f","f"
1,1,"probably",9,"scene_orange_video_10.gif",10,"orange",1,"orange_probably_f","f"
0,NA,"might",9,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",9,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",9,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"bare",9,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"bare",9,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"might",9,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",9,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",9,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",9,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,1,"probably",9,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",9,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"probably",9,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,2,"probably",10,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"probably",10,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"might",10,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"bare",10,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
1,1,"bare",10,"scene_orange_video_0.gif",0,"orange",1,"orange_bare_f","f"
0,NA,"bare",10,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",10,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
1,1,"might",10,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
1,2,"probably",10,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",10,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
1,1,"bare",10,"scene_orange_video_0.gif",0,"orange",1,"orange_bare_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",10,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",10,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"might",11,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"might",11,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
1,1,"probably",11,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",11,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"might",11,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
0,NA,"might",11,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",11,"scene_blue_video_90.gif",90,"blue",-1,"blue_probably_f","f"
0,NA,"might",11,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"might",11,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",11,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"might",11,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"bare",11,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"bare",11,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"might",11,"scene_blue_video_60.gif",60,"blue",-1,"blue_might_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,1,"probably",11,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"bare",11,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
1,1,"might",11,"scene_orange_video_40.gif",40,"orange",1,"orange_might_f","f"
0,NA,"might",11,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"probably",11,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"probably",12,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
0,NA,"bare",12,"scene_blue_video_100.gif",100,"blue",-1,"blue_bare_f","f"
0,NA,"bare",12,"scene_orange_video_0.gif",0,"orange",-1,"orange_bare_f","f"
0,NA,"probably",12,"scene_orange_video_10.gif",10,"orange",-1,"orange_probably_f","f"
1,2,"might",12,"scene_blue_video_60.gif",60,"blue",1,"blue_might_f","f"
1,1,"probably",12,"scene_blue_video_90.gif",90,"blue",1,"blue_probably_f","f"
0,NA,"might",12,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
0,NA,"might",12,"scene_orange_video_40.gif",40,"orange",-1,"orange_might_f","f"
