modal,percentage_blue,cond,rating_pred,run
other,70,might-probably,0.0324374779428,4
might,75,might-probably,0.113839134591,4
probably,75,might-probably,0.858123660634,4
other,75,might-probably,0.0280372047749,4
might,80,might-probably,0.084850070601,4
probably,80,might-probably,0.889820312257,4
other,80,might-probably,0.0253296171424,4
might,85,might-probably,0.0665191411773,4
probably,85,might-probably,0.909571926967,4
other,85,might-probably,0.0239089318561,4
might,90,might-probably,0.0551957319201,4
probably,90,might-probably,0.920986089663,4
other,90,might-probably,0.0238181784167,4
might,95,might-probably,0.0490460277397,4
probably,95,might-probably,0.92400057602,4
other,95,might-probably,0.0269533962407,4
might,100,might-probably,0.0331737811722,4
probably,100,might-probably,0.401137269378,4
other,100,might-probably,0.565688949449,4
might,0,might-probably,0.0227806568811,5
probably,0,might-probably,0.0166666937921,5
other,0,might-probably,0.960552649327,5
might,5,might-probably,0.281528308169,5
probably,5,might-probably,0.0167219270684,5
other,5,might-probably,0.701749764763,5
might,10,might-probably,0.658463831414,5
probably,10,might-probably,0.0174048028996,5
other,10,might-probably,0.324131365687,5
might,15,might-probably,0.801750030008,5
probably,15,might-probably,0.0194860987429,5
other,15,might-probably,0.178763871249,5
might,20,might-probably,0.847185987682,5
probably,20,might-probably,0.0242543061954,5
other,20,might-probably,0.128559706122,5
might,25,might-probably,0.857078728295,5
probably,25,might-probably,0.0341503682022,5
other,25,might-probably,0.108770903503,5
might,30,might-probably,0.846697476996,5
probably,30,might-probably,0.0533569111586,5
other,30,might-probably,0.0999456118452,5
might,35,might-probably,0.816653334151,5
probably,35,might-probably,0.0886056361897,5
other,35,might-probably,0.0947410296597,5
might,40,might-probably,0.761407886882,5
probably,40,might-probably,0.149166318302,5
other,40,might-probably,0.0894257948161,5
might,45,might-probably,0.674922266995,5
probably,45,might-probably,0.243210065193,5
other,45,might-probably,0.0818676678118,5
might,50,might-probably,0.559487351212,5
probably,50,might-probably,0.368988512963,5
other,50,might-probably,0.0715241358244,5
might,55,might-probably,0.4316766992,5
probably,55,might-probably,0.508650161142,5
other,55,might-probably,0.0596731396579,5
might,60,might-probably,0.314505594718,5
probably,60,might-probably,0.636985596161,5
other,60,might-probably,0.0485088091203,5
might,65,might-probably,0.222631137559,5
probably,65,might-probably,0.737789222908,5
other,65,might-probably,0.0395796395335,5
might,70,might-probably,0.157864753973,5
probably,70,might-probably,0.808915507169,5
other,70,might-probably,0.0332197388581,5
might,75,might-probably,0.114868866706,5
probably,75,might-probably,0.856091887139,5
other,75,might-probably,0.0290392461551,5
might,80,might-probably,0.0871226756257,5
probably,80,might-probably,0.886353654217,5
other,80,might-probably,0.0265236701576,5
might,85,might-probably,0.0694834133193,5
probably,85,might-probably,0.905140337515,5
other,85,might-probably,0.0253762491654,5
might,90,might-probably,0.0585993895502,5
probably,90,might-probably,0.915516001562,5
other,90,might-probably,0.0258846088883,5
might,95,might-probably,0.0528397920333,5
probably,95,might-probably,0.916110644759,5
other,95,might-probably,0.0310495632077,5
might,100,might-probably,0.0352998892576,5
probably,100,might-probably,0.405810212092,5
other,100,might-probably,0.558889898651,5
might,0,might-probably,0.0331669232729,6
probably,0,might-probably,0.0166666677724,6
other,0,might-probably,0.950166408955,6
might,5,might-probably,0.326581272191,6
probably,5,might-probably,0.0166768503271,6
other,5,might-probably,0.656741877482,6
might,10,might-probably,0.659080563776,6
probably,10,might-probably,0.0169155036143,6
other,10,might-probably,0.32400393261,6
might,15,might-probably,0.794566480301,6
probably,15,might-probably,0.0180096804078,6
other,15,might-probably,0.187423839292,6
might,20,might-probably,0.844508124655,6
probably,20,might-probably,0.0211327242719,6
other,20,might-probably,0.134359151073,6
might,25,might-probably,0.860513264874,6
probably,25,might-probably,0.0284659545761,6
other,25,might-probably,0.11102078055,6
might,30,might-probably,0.856532024197,6
probably,30,might-probably,0.0439542995062,6
other,30,might-probably,0.0995136762966,6
might,35,might-probably,0.832742541897,6
probably,35,might-probably,0.074564330446,6
other,35,might-probably,0.0926931276568,6
might,40,might-probably,0.782056843628,6
probably,40,might-probably,0.131270898221,6
other,40,might-probably,0.0866722581511,6
might,45,might-probably,0.695193984062,6
probably,45,might-probably,0.225942419929,6
other,45,might-probably,0.0788635960092,6
might,50,might-probably,0.572249715542,6
probably,50,might-probably,0.359480261643,6
other,50,might-probably,0.0682700228156,6
might,55,might-probably,0.433339053137,6
probably,55,might-probably,0.510474884935,6
other,55,might-probably,0.0561860619287,6
might,60,might-probably,0.308251697701,6
probably,60,might-probably,0.646606742943,6
other,60,might-probably,0.0451415593561,6
might,65,might-probably,0.214263084975,6
probably,65,might-probably,0.748979214994,6
other,65,might-probably,0.0367577000307,6
might,70,might-probably,0.151285366131,6
probably,70,might-probably,0.817561122638,6
other,70,might-probably,0.0311535112308,6
might,75,might-probably,0.111480952902,6
probably,75,might-probably,0.860774827725,6
other,75,might-probably,0.027744219373,6
might,80,might-probably,0.0869803152185,6
probably,80,might-probably,0.887051887856,6
other,80,might-probably,0.0259677969251,6
might,85,might-probably,0.0722444016201,6
probably,85,might-probably,0.902123003286,6
other,85,might-probably,0.0256325950943,6
might,90,might-probably,0.0639477524251,6
probably,90,might-probably,0.908639805026,6
other,90,might-probably,0.0274124425484,6
might,95,might-probably,0.0603857869991,6
probably,95,might-probably,0.903585624348,6
other,95,might-probably,0.0360285886527,6
might,100,might-probably,0.0388733478305,6
probably,100,might-probably,0.408760196981,6
other,100,might-probably,0.552366455188,6
might,0,might-probably,0.0257483183339,7
probably,0,might-probably,0.0166666679151,7
other,0,might-probably,0.957585013751,7
might,5,might-probably,0.292273924287,7
probably,5,might-probably,0.0166777378263,7
other,5,might-probably,0.691048337886,7
might,10,might-probably,0.65356878104,7
probably,10,might-probably,0.0169329738263,7
other,10,might-probably,0.329498245133,7
might,15,might-probably,0.798512840228,7
probably,15,might-probably,0.0180522841892,7
other,15,might-probably,0.183434875583,7
might,20,might-probably,0.84878888026,7
probably,20,might-probably,0.0211836214678,7
other,20,might-probably,0.130027498272,7
might,25,might-probably,0.863684467073,7
probably,25,might-probably,0.0285128683858,7
other,25,might-probably,0.107802664541,7
might,30,might-probably,0.858592701873,7
probably,30,might-probably,0.0440114712187,7
other,30,might-probably,0.0973958269079,7
might,35,might-probably,0.833963787163,7
probably,35,might-probably,0.074647448619,7
other,35,might-probably,0.0913887642181,7
might,40,might-probably,0.782816960841,7
probably,40,might-probably,0.131307407311,7
other,40,might-probably,0.0858756318478,7
might,45,might-probably,0.695962332293,7
probably,45,might-probably,0.225688406311,7
other,45,might-probably,0.0783492613954,7
might,50,might-probably,0.573429018116,7
probably,50,might-probably,0.358654472942,7
other,50,might-probably,0.0679165089415,7
might,55,might-probably,0.434952103202,7
probably,55,might-probably,0.509119383165,7
other,55,might-probably,0.055928513633,7
might,60,might-probably,0.309945397828,7
probably,60,might-probably,0.64512894211,7
other,60,might-probably,0.0449256600626,7
might,65,might-probably,0.215692242196,7
probably,65,might-probably,0.747769138107,7
other,65,might-probably,0.0365386196966,7
might,70,might-probably,0.152322408632,7
probably,70,might-probably,0.816776491039,7
other,70,might-probably,0.030901100329,7
might,75,might-probably,0.112152675834,7
probably,75,might-probably,0.860414620469,7
other,75,might-probably,0.0274327036965,7
might,80,might-probably,0.0873617200989,7
probably,80,might-probably,0.887081387795,7
other,80,might-probably,0.0255568921063,7
might,85,might-probably,0.0724054511131,7
probably,85,might-probably,0.902561825511,7
other,85,might-probably,0.0250327233761,7
might,90,might-probably,0.0639427685971,7
probably,90,might-probably,0.909683292371,7
other,90,might-probably,0.0263739390318,7
might,95,might-probably,0.0602792591181,7
probably,95,might-probably,0.906166502006,7
other,95,might-probably,0.0335542388761,7
might,100,might-probably,0.0387562277604,7
probably,100,might-probably,0.407561319423,7
other,100,might-probably,0.553682452817,7
might,0,might-probably,0.0346298743883,8
probably,0,might-probably,0.0166666826952,8
other,0,might-probably,0.948703442916,8
might,5,might-probably,0.356960933861,8
probably,5,might-probably,0.0167077353471,8
other,5,might-probably,0.626331330792,8
might,10,might-probably,0.683490832805,8
probably,10,might-probably,0.0172489708124,8
other,10,might-probably,0.299260196382,8
might,15,might-probably,0.805434108818,8
probably,15,might-probably,0.0190855679507,8
other,15,might-probably,0.175480323231,8
might,20,might-probably,0.84762614718,8
probably,20,might-probably,0.0235215175768,8
other,20,might-probably,0.128852335244,8
might,25,might-probably,0.858351966548,8
probably,25,might-probably,0.0328988304672,8
other,25,might-probably,0.108749202985,8
might,30,might-probably,0.849794163208,8
probably,30,might-probably,0.0512649124846,8
other,30,might-probably,0.0989409243075,8
might,35,might-probably,0.82177437977,8
probably,35,might-probably,0.0853102623386,8
other,35,might-probably,0.092915357891,8
might,40,might-probably,0.768255456544,8
probably,40,might-probably,0.144590970654,8
other,40,might-probably,0.0871535728022,8
might,45,might-probably,0.682466076595,8
probably,45,might-probably,0.238053793688,8
other,45,might-probably,0.0794801297171,8
might,50,might-probably,0.566050477767,8
probably,50,might-probably,0.364731380109,8
other,50,might-probably,0.0692181421236,8
might,55,might-probably,0.435957131009,8
probably,55,might-probably,0.506490806386,8
other,55,might-probably,0.0575520626053,8
might,60,might-probably,0.316503197451,8
probably,60,might-probably,0.636849959377,8
other,60,might-probably,0.0466468431727,8
might,65,might-probably,0.223242468214,8
probably,65,might-probably,0.738738480834,8
other,65,might-probably,0.0380190509524,8
might,70,might-probably,0.157982444391,8
probably,70,might-probably,0.810066341855,8
other,70,might-probably,0.0319512137537,8
might,75,might-probably,0.115014359071,8
probably,75,might-probably,0.856971132215,8
other,75,might-probably,0.0280145087139,8
might,80,might-probably,0.0875162802863,8
probably,80,might-probably,0.886803474813,8
other,80,might-probably,0.0256802449006,8
might,85,might-probably,0.0701976556371,8
probably,85,might-probably,0.905149995543,8
other,85,might-probably,0.0246523488195,8
might,90,might-probably,0.0596626806232,8
probably,90,might-probably,0.915115175699,8
other,90,might-probably,0.0252221436781,8
might,95,might-probably,0.0542761733258,8
probably,95,might-probably,0.915341069497,8
other,95,might-probably,0.0303827571771,8
might,100,might-probably,0.0343190581798,8
probably,100,might-probably,0.372991583472,8
other,100,might-probably,0.592689358348,8
might,0,might-probably,0.0280341319888,9
probably,0,might-probably,0.016666667187,9
other,0,might-probably,0.955299200824,9
might,5,might-probably,0.337933646431,9
probably,5,might-probably,0.016673441534,9
other,5,might-probably,0.645392912035,9
might,10,might-probably,0.688015397169,9
probably,10,might-probably,0.016846863372,9
other,10,might-probably,0.295137739459,9
might,15,might-probably,0.813589951446,9
probably,15,might-probably,0.0176882507881,9
other,15,might-probably,0.168721797766,9
might,20,might-probably,0.855854218139,9
probably,20,might-probably,0.0202553197782,9
other,20,might-probably,0.123890462083,9
might,25,might-probably,0.867798230894,9
probably,25,might-probably,0.0266443227808,9
other,25,might-probably,0.105557446325,9
might,30,might-probably,0.862194498895,9
probably,30,might-probably,0.040736328344,9
other,30,might-probably,0.0970691727614,9
might,35,might-probably,0.838530875904,9
probably,35,might-probably,0.0695019086556,9
other,35,might-probably,0.0919672154402,9
might,40,might-probably,0.788941614138,9
probably,40,might-probably,0.124330672583,9
other,40,might-probably,0.0867277132787,9
might,45,might-probably,0.702561402204,9
probably,45,might-probably,0.218451309719,9
other,45,might-probably,0.0789872880769,9
might,50,might-probably,0.577659967521,9
probably,50,might-probably,0.354400836606,9
other,50,might-probably,0.0679391958726,9
might,55,might-probably,0.434645213062,9
probably,55,might-probably,0.510170826641,9
other,55,might-probably,0.0551839602967,9
might,60,might-probably,0.305819884195,9
probably,60,might-probably,0.650575957042,9
other,60,might-probably,0.0436041587629,9
might,65,might-probably,0.210006581757,9
probably,65,might-probably,0.755047511165,9
other,65,might-probably,0.0349459070785,9
might,70,might-probably,0.14677589577,9
probably,70,might-probably,0.824000059063,9
other,70,might-probably,0.0292240451666,9
might,75,might-probably,0.107442894962,9
probably,75,might-probably,0.866862572181,9
other,75,might-probably,0.0256945328574,9
might,80,might-probably,0.0835896641871,9
probably,80,might-probably,0.892772676612,9
other,80,might-probably,0.0236376592004,9
might,85,might-probably,0.0694472987293,9
probably,85,might-probably,0.907940333416,9
other,85,might-probably,0.0226123678545,9
might,90,might-probably,0.0616239770805,9
probably,90,might-probably,0.915810837273,9
other,90,might-probably,0.0225651856469,9
might,95,might-probably,0.058409908893,9
probably,95,might-probably,0.916967604617,9
other,95,might-probably,0.0246224864901,9
might,100,might-probably,0.0352269478957,9
probably,100,might-probably,0.362966117025,9
other,100,might-probably,0.601806935079,9
might,0,might-probably,0.0388983776235,10
probably,0,might-probably,0.0166666682317,10
other,0,might-probably,0.944434954145,10
might,5,might-probably,0.344141690863,10
probably,5,might-probably,0.0166790926564,10
other,5,might-probably,0.639179216481,10
might,10,might-probably,0.660707224871,10
probably,10,might-probably,0.0169534590943,10
other,10,might-probably,0.322339316034,10
might,15,might-probably,0.791361789317,10
probably,15,might-probably,0.0181871301706,10
other,15,might-probably,0.190451080513,10
might,20,might-probably,0.840882638762,10
probably,20,might-probably,0.0216466761016,10
other,20,might-probably,0.137470685136,10
might,25,might-probably,0.856901713864,10
probably,25,might-probably,0.0296271914168,10
other,25,might-probably,0.113471094719,10
might,30,might-probably,0.852474762917,10
probably,30,might-probably,0.0462260431151,10
other,30,might-probably,0.101299193968,10
might,35,might-probably,0.827497314585,10
probably,35,might-probably,0.078585621028,10
other,35,might-probably,0.0939170643868,10
might,40,might-probably,0.774933973771,10
probably,40,might-probably,0.137645071809,10
other,40,might-probably,0.0874209544199,10
might,45,might-probably,0.686305265951,10
probably,45,might-probably,0.234472380104,10
other,45,might-probably,0.0792223539444,10
might,50,might-probably,0.56323955306,10
probably,50,might-probably,0.368368280476,10
other,50,might-probably,0.0683921664641,10
might,55,might-probably,0.426525885534,10
probably,55,might-probably,0.517204251164,10
other,55,might-probably,0.0562698633021,10
might,60,might-probably,0.30466682633,10
probably,60,might-probably,0.650032286167,10
other,60,might-probably,0.0453008875035,10
might,65,might-probably,0.213332114533,10
probably,65,might-probably,0.749679615423,10
other,65,might-probably,0.0369882700447,10
might,70,might-probably,0.151942875171,10
probably,70,might-probably,0.816650437815,10
other,70,might-probably,0.0314066870143,10
might,75,might-probably,0.112917961206,10
probably,75,might-probably,0.859102498641,10
other,75,might-probably,0.027979540153,10
might,80,might-probably,0.0887504198885,10
probably,80,might-probably,0.885090944356,10
other,80,might-probably,0.0261586357558,10
might,85,might-probably,0.0741474832852,10
probably,85,might-probably,0.90010155087,10
