"workerid","percentage_blue","rating","modal","speaker_cond"
34,40,0,"""noise""","m"
34,50,0,"""noise""","m"
34,60,0,"""noise""","m"
34,75,0,"""noise""","m"
34,90,0,"""noise""","m"
34,100,0,"""noise""","m"
35,0,0.93,"""noise""","m"
35,10,0.89,"""noise""","m"
35,25,0.83,"""noise""","m"
35,40,0.55,"""noise""","m"
35,50,0.41,"""noise""","m"
35,60,0.32,"""noise""","m"
35,75,0.18,"""noise""","m"
35,90,0.11,"""noise""","m"
35,100,0,"""noise""","m"
36,0,0.08,"""noise""","m"
36,10,0.21,"""noise""","m"
36,25,0.36,"""noise""","m"
36,40,0.72,"""noise""","m"
36,50,0.64,"""noise""","m"
36,60,0.62,"""noise""","m"
36,75,0.51,"""noise""","m"
36,90,0.2,"""noise""","m"
36,100,0.07,"""noise""","m"
37,0,1,"""noise""","m"
37,10,0.74,"""noise""","m"
37,25,0.25,"""noise""","m"
37,40,0.61,"""noise""","m"
37,50,0.55,"""noise""","m"
37,60,0.43,"""noise""","m"
37,75,0.76,"""noise""","m"
37,90,0.66,"""noise""","m"
37,100,0.49,"""noise""","m"
38,0,0.83,"""noise""","m"
38,10,0.82,"""noise""","m"
38,25,0.74,"""noise""","m"
38,40,0.76,"""noise""","m"
38,50,0.7,"""noise""","m"
38,60,0.64,"""noise""","m"
38,75,0.61,"""noise""","m"
38,90,0.64,"""noise""","m"
38,100,0.51,"""noise""","m"
39,0,0.46,"""noise""","m"
39,10,0.52,"""noise""","m"
39,25,0.6,"""noise""","m"
39,40,0.83,"""noise""","m"
39,50,0.69,"""noise""","m"
39,60,0.54,"""noise""","m"
39,75,0.67,"""noise""","m"
39,90,0.75,"""noise""","m"
39,100,0.81,"""noise""","m"
