"workerid","color","percentage_blue","modal","rating","speaker_cond"
4,"""orange""",90,"""bare""",0.01,"f"
4,"""orange""",100,"""bare""",0.07,"f"
4,"""blue""",0,"""might""",0.01,"f"
4,"""blue""",10,"""might""",0.14,"f"
4,"""blue""",25,"""might""",0.36,"f"
4,"""blue""",40,"""might""",1,"f"
4,"""blue""",50,"""might""",0.99,"f"
4,"""blue""",60,"""might""",0.74,"f"
4,"""blue""",75,"""might""",0.36,"f"
4,"""blue""",90,"""might""",0.11,"f"
4,"""blue""",100,"""might""",0,"f"
4,"""orange""",0,"""probably""",0,"f"
4,"""orange""",10,"""probably""",1,"f"
4,"""orange""",25,"""probably""",0.94,"f"
4,"""orange""",40,"""probably""",0.65,"f"
4,"""orange""",50,"""probably""",0.4,"f"
4,"""orange""",60,"""probably""",0.07,"f"
4,"""orange""",75,"""probably""",0,"f"
4,"""orange""",90,"""probably""",0,"f"
4,"""orange""",100,"""probably""",0,"f"
4,"""blue""",0,"""bare""",0,"f"
4,"""blue""",10,"""bare""",0,"f"
4,"""blue""",25,"""bare""",0,"f"
4,"""blue""",40,"""bare""",0,"f"
4,"""blue""",50,"""bare""",0,"f"
4,"""blue""",60,"""bare""",0,"f"
4,"""blue""",75,"""bare""",0.15,"f"
4,"""blue""",90,"""bare""",0.49,"f"
4,"""blue""",100,"""bare""",1,"f"
4,"""orange""",0,"""might""",0,"f"
4,"""orange""",10,"""might""",0.49,"f"
4,"""orange""",25,"""might""",0.45,"f"
4,"""orange""",40,"""might""",1,"f"
4,"""orange""",50,"""might""",1,"f"
4,"""orange""",60,"""might""",1,"f"
4,"""orange""",75,"""might""",1,"f"
4,"""orange""",90,"""might""",0.22,"f"
4,"""orange""",100,"""might""",0,"f"
4,"""orange""",0,"""might""",0,"f"
4,"""orange""",10,"""might""",0.49,"f"
4,"""orange""",25,"""might""",0.45,"f"
4,"""orange""",40,"""might""",1,"f"
4,"""orange""",50,"""might""",1,"f"
4,"""orange""",60,"""might""",1,"f"
4,"""orange""",75,"""might""",1,"f"
4,"""orange""",90,"""might""",0.22,"f"
4,"""orange""",100,"""might""",0,"f"
5,"""orange""",0,"""might""",0,"f"
5,"""orange""",10,"""might""",0,"f"
5,"""orange""",25,"""might""",0.63,"f"
5,"""orange""",40,"""might""",1,"f"
5,"""orange""",50,"""might""",0.59,"f"
5,"""orange""",60,"""might""",0,"f"
5,"""orange""",75,"""might""",0,"f"
5,"""orange""",90,"""might""",0,"f"
5,"""orange""",100,"""might""",0,"f"
5,"""orange""",0,"""probably""",1,"f"
5,"""orange""",10,"""probably""",0.71,"f"
5,"""orange""",25,"""probably""",0.34,"f"
5,"""orange""",40,"""probably""",0,"f"
5,"""orange""",50,"""probably""",0,"f"
5,"""orange""",60,"""probably""",0,"f"
5,"""orange""",75,"""probably""",0,"f"
5,"""orange""",90,"""probably""",0,"f"
5,"""orange""",100,"""probably""",0,"f"
5,"""blue""",0,"""bare""",0,"f"
5,"""blue""",10,"""bare""",0,"f"
5,"""blue""",25,"""bare""",0,"f"
5,"""blue""",40,"""bare""",0,"f"
5,"""blue""",50,"""bare""",0,"f"
5,"""blue""",60,"""bare""",0,"f"
5,"""blue""",75,"""bare""",0,"f"
5,"""blue""",90,"""bare""",0,"f"
5,"""blue""",100,"""bare""",1,"f"
5,"""blue""",0,"""might""",0,"f"
5,"""blue""",10,"""might""",0,"f"
5,"""blue""",25,"""might""",0,"f"
5,"""blue""",40,"""might""",0.43,"f"
5,"""blue""",50,"""might""",1,"f"
5,"""blue""",60,"""might""",1,"f"
5,"""blue""",75,"""might""",1,"f"
5,"""blue""",90,"""might""",0,"f"
5,"""blue""",100,"""might""",0,"f"
5,"""orange""",0,"""bare""",1,"f"
5,"""orange""",10,"""bare""",0,"f"
5,"""orange""",25,"""bare""",0,"f"
5,"""orange""",40,"""bare""",0,"f"
5,"""orange""",50,"""bare""",0,"f"
5,"""orange""",60,"""bare""",0,"f"
5,"""orange""",75,"""bare""",0,"f"
5,"""orange""",90,"""bare""",0,"f"
5,"""orange""",100,"""bare""",0,"f"
5,"""blue""",0,"""probably""",0,"f"
5,"""blue""",10,"""probably""",0,"f"
5,"""blue""",25,"""probably""",0,"f"
5,"""blue""",40,"""probably""",1,"f"
5,"""blue""",50,"""probably""",1,"f"
5,"""blue""",60,"""probably""",0.65,"f"
5,"""blue""",75,"""probably""",0,"f"
5,"""blue""",90,"""probably""",0,"f"
5,"""blue""",100,"""probably""",0,"f"
6,"""blue""",0,"""might""",0,"f"
6,"""blue""",10,"""might""",0,"f"
6,"""blue""",25,"""might""",0,"f"
6,"""blue""",40,"""might""",0.25,"f"
6,"""blue""",50,"""might""",1,"f"
6,"""blue""",60,"""might""",1,"f"
6,"""blue""",75,"""might""",0.6,"f"
6,"""blue""",90,"""might""",0,"f"
6,"""blue""",100,"""might""",0,"f"
6,"""blue""",0,"""bare""",0,"f"
6,"""blue""",10,"""bare""",0,"f"
6,"""blue""",25,"""bare""",0,"f"
6,"""blue""",40,"""bare""",0,"f"
6,"""blue""",50,"""bare""",0,"f"
6,"""blue""",60,"""bare""",0,"f"
6,"""blue""",75,"""bare""",0,"f"
6,"""blue""",90,"""bare""",0,"f"
6,"""blue""",100,"""bare""",1,"f"
6,"""orange""",0,"""bare""",1,"f"
6,"""orange""",10,"""bare""",0,"f"
6,"""orange""",25,"""bare""",0,"f"
6,"""orange""",40,"""bare""",0,"f"
6,"""orange""",50,"""bare""",0,"f"
6,"""orange""",60,"""bare""",0,"f"
6,"""orange""",75,"""bare""",0,"f"
6,"""orange""",90,"""bare""",0,"f"
6,"""orange""",100,"""bare""",0,"f"
6,"""orange""",0,"""might""",0,"f"
6,"""orange""",10,"""might""",0,"f"
6,"""orange""",25,"""might""",0.45,"f"
6,"""orange""",40,"""might""",0.82,"f"
6,"""orange""",50,"""might""",0.47,"f"
6,"""orange""",60,"""might""",0.24,"f"
6,"""orange""",75,"""might""",0,"f"
6,"""orange""",90,"""might""",0,"f"
6,"""orange""",100,"""might""",0,"f"
6,"""orange""",0,"""probably""",0,"f"
6,"""orange""",10,"""probably""",1,"f"
6,"""orange""",25,"""probably""",0.81,"f"
6,"""orange""",40,"""probably""",0.38,"f"
6,"""orange""",50,"""probably""",0,"f"
6,"""orange""",60,"""probably""",0,"f"
6,"""orange""",75,"""probably""",0,"f"
6,"""orange""",90,"""probably""",0,"f"
6,"""orange""",100,"""probably""",0,"f"
6,"""blue""",0,"""probably""",0,"f"
