"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"34","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.3,0.51,0.19,75,"orange",1,1,1,"m","confident_f","pre_exposure","German","m",28,0,33,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"35","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.15,0.43,0.42,50,"blue",1,1,0,"m","confident_f","pre_exposure","German","m",28,0,34,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"36","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.33,0.67,1.11022302463e-16,60,"orange",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,35,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"37","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.35,0.65,0,90,"orange",1,1,1,"m","confident_f","post_exposure","German","m",28,0,36,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"38","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.09,0.39,0.52,60,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,37,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"39","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.23,0.59,0.18,10,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,38,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"40","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.22,0.58,0.2,90,"blue",1,1,0,"f","confident_f","post_exposure","German","m",28,0,39,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"41","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.11,0.39,0.5,60,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,40,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"42","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.26,0.32,0.42,40,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,41,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"43","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.42,0.58,0,100,"orange",1,1,0,"m","confident_f","post_exposure","German","m",28,0,42,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"44","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.21,0.46,0.33,100,"blue",1,1,1,"m","confident_f","post_exposure","German","m",28,0,43,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"45","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.29,0.55,0.16,75,"orange",1,1,1,"f","confident_f","post_exposure","German","m",28,0,44,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"46","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.69,0.31,0,90,"blue",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,45,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"47","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.53,0.47,0,90,"orange",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,46,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"48","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.64,0.36,0,40,"blue",1,1,1,"m","confident_f","post_exposure","German","m",28,0,47,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"49","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.32,0.55,0.13,75,"orange",1,1,1,"m","confident_f","post_exposure","German","m",28,0,48,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"50","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.56,0.44,0,10,"orange",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,49,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"51","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.56,0.44,0,60,"blue",1,0,-1,"m","confident_f","post_exposure","German","m",28,0,50,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"52","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.36,0.57,0.07,100,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,51,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"53","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.32,0.51,0.17,75,"blue",1,0,-1,"f","confident_f","post_exposure","German","m",28,0,52,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"54","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.26,0.46,0.28,0,"blue",1,1,1,"m","confident_f","post_exposure","German","m",28,0,53,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
